file,source_url,author,license,date_added,modifications,ai_tool,ai_plan
assets/trees/birch.glb,https://quaternius.com/packs/ultimatestylizednature.html,Quaternius,CC0-1.0,2026-09-24,"Re-exported from the pack's BirchTree_4 glTF to a single .glb; dropped a normal-map reference we didn't bring in; Meshopt-compressed with gltf-transform",,
assets/trees/oak.glb,https://quaternius.com/packs/ultimatestylizednature.html,Quaternius,CC0-1.0,2026-09-24,"Stand-in for the game's oak (the pack has none); re-exported from the pack's MapleTree_1 glTF to a single .glb; dropped a normal-map reference we didn't bring in; Meshopt-compressed with gltf-transform",,
assets/flowers/flower.glb,https://quaternius.com/packs/ultimatestylizednature.html,Quaternius,CC0-1.0,2026-09-24,"Used for the flower patch gather spot and the flower bed's blooms; re-exported from the pack's Flower_2 glTF to a single .glb; Meshopt-compressed with gltf-transform",,
assets/trees/pine.glb,https://quaternius.com/packs/stylizedtree.html,Quaternius,CC0-1.0,2026-09-24,"This pack ships OBJ/FBX/Blend only, no glTF; converted from the pack's Pine_1 OBJ with obj2gltf (the shipped .mtl was missing its map_Kd lines, added back pointing at the pack's own Tree_Bark.jpg and Pine_Leaves.png), then Meshopt-compressed with gltf-transform",,
assets/rocks/boulder.glb,https://quaternius.com/packs/simplenature.html,Quaternius,CC0-1.0,2026-09-24,"This pack ships OBJ/FBX/Blend only, no glTF; converted from the pack's Rock1 OBJ (flat-shaded, no texture) with obj2gltf, then Meshopt-compressed with gltf-transform",,
assets/rocks/mossyRock.glb,https://quaternius.com/packs/simplenature.html,Quaternius,CC0-1.0,2026-09-24,"Stand-in for the game's smaller mossy rock (the pack has no moss texture); converted from the pack's Rock2 OBJ (flat-shaded, no texture) with obj2gltf, then Meshopt-compressed with gltf-transform",,
assets/audio/sfx/tree-hit-1.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactWood_heavy_000.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/tree-hit-2.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactWood_heavy_001.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/tree-hit-3.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactWood_heavy_002.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/tree-hit-4.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactWood_heavy_003.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/tree-hit-5.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactWood_heavy_004.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/threat-hit-1.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactSoft_medium_000.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/threat-hit-2.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactSoft_medium_001.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/threat-hit-3.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactSoft_medium_002.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/threat-hit-4.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactSoft_medium_003.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/threat-hit-5.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactSoft_medium_004.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/took-damage-1.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactSoft_heavy_000.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/took-damage-2.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactSoft_heavy_001.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/took-damage-3.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactSoft_heavy_002.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/took-damage-4.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactSoft_heavy_003.ogg, renamed for its role, unmodified otherwise",,
assets/audio/sfx/took-damage-5.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0-1.0,2026-09-24,"One of five variants (chosen at random on each play for variety) from Kenney's impactSoft_heavy_004.ogg, renamed for its role, unmodified otherwise",,
assets/audio/music/ambient-loop.ogg,https://tallbeard.itch.io/music-loop-bundle,Abstraction (Benjamin Burnes) / Tallbeard Studios,CC0-1.0,2026-09-24,"Renamed from the pack's Week 26 - Seaside CORAL REEF track; picked over the pack's other tracks by measured loudness/dynamics (lowest crest factor and peak level of the batch) as the calmest, most sustained-sounding loop, since it could not be judged by ear; unmodified audio",,
